"probe","logFC","AveExpr","t","P.Value","adj.P.Val"
"1449519_at",4.30561316378565,8.18464692020023,14.7972311642015,5.89766162922582e-17,2.65990437139714e-12
"1449363_at",5.70625048926893,9.5105068145121,13.6713208973174,6.82102185894688e-16,1.53817453430182e-11
"1448272_at",3.512560102422,9.86966604394858,12.4521444582124,1.13424679346721e-14,1.40125673696683e-10
"1448239_at",3.83364297586124,11.1444644701305,12.4137502943761,1.24277221078631e-14,1.40125673696683e-10
"1455725_a_at",1.39337696818752,12.5869887660253,11.2152765905529,2.35968378600965e-13,2.03132950863226e-09
"1451340_at",3.09581894551961,6.61014734406774,11.1422073756479,2.84014447541935e-13,2.03132950863226e-09
"1417065_at",4.18037046444267,11.7036126909073,11.0288391131189,3.7914512940755e-13,2.03132950863226e-09
"1416268_at",1.81175389225639,9.37970013131255,11.0053333120913,4.02632862848939e-13,2.03132950863226e-09
"1415899_at",2.86945051476472,9.37037256001345,11.0026989034574,4.05356102474232e-13,2.03132950863226e-09
"1418936_at",3.99940880309786,8.08570388455436,10.9560628427289,4.56799346185151e-13,2.06021073122965e-09
"1420376_a_at",1.56161138305071,11.8934800201244,10.5705546252467,1.23974082343958e-12,4.86763930378684e-09
"1423622_a_at",1.47051314942108,9.79967022590988,10.553845994225,1.29513029967056e-12,4.86763930378684e-09
"1423100_at",5.17519559628043,10.1041451674345,10.3473954596824,2.22927161034613e-12,7.734029146017e-09
"1452519_a_at",2.20633035640772,11.7255710699382,10.2816649242545,2.65313936787102e-12,8.5470884735965e-09
"1424880_at",2.244174957391,8.90749349022177,10.0396099329642,5.0612787015769e-12,1.52179153813213e-08
"1416442_at",3.10994804056967,10.9453917610243,9.96391308909199,6.20385536783991e-12,1.74875050590592e-08
"1434496_at",2.86065432762582,9.88778253643233,9.8948728355838,7.47433207646027e-12,1.98294029988491e-08
"1437247_at",1.77913279992366,7.34338629640728,9.83945806529579,8.68380796222937e-12,2.17582457169171e-08
"1420099_at",2.06299799297273,7.48544186551829,9.48826330484504,2.26756174209124e-11,5.25268448794859e-08
"1447105_at",-1.87034355889538,6.32046121106085,-9.47851815238714,2.32929845810451e-11,5.25268448794859e-08
"1417409_at",3.74552675505796,11.5828782854151,9.36423616500873,3.19470341240832e-11,6.86115802871559e-08
"1416067_at",2.54345988161944,9.94813761426464,9.22638082534457,4.68714946579282e-11,9.60886945712373e-08
"1418835_at",2.08395078323075,10.6319605095692,9.1868740190578,5.23375416693696e-11,1.02629368123054e-07
"1443159_at",1.85863312573067,7.24363759329921,9.03890555991008,7.92504598959681e-11,1.48649804902423e-07
"1449984_at",3.95335534694759,6.64032974801283,9.02506470843959,8.23982865692682e-11,1.48649804902423e-07
"1440076_at",1.92221266554509,9.06356894232005,8.92878330467194,1.08114643826618e-10,1.87541482739395e-07
"1448694_at",2.95567924020956,10.2299162127772,8.86222435984587,1.30535878737259e-10,2.18048098775153e-07
"1444021_at",1.61955859563962,6.79005672714894,8.72526884813386,1.92705535492447e-10,3.0094290367717e-07
