"probe","logFC","AveExpr","t","P.Value","adj.P.Val"
"1449519_at",4.30561316378565,8.18464692020023,15.9694150012652,4.34683680080564e-17,1.04889806260508e-12
"1449363_at",5.70625048926893,9.5105068145121,15.9325835613077,4.65132951644122e-17,1.04889806260508e-12
"1448272_at",3.512560102422,9.86966604394858,15.5114870261476,1.01753502958403e-16,1.5297282456423e-12
"1416268_at",1.81175389225639,9.37970013131255,13.5022005511758,5.4004764342832e-15,5.78488972400901e-11
"1448239_at",3.83364297586124,11.1444644701305,13.4197527587354,6.41326104078514e-15,5.78488972400901e-11
"1416250_at",3.29859200985295,9.96621885565415,12.6588425584452,3.24668920018093e-14,2.44048216028934e-10
"1418280_at",2.68005724966332,7.87199258868108,12.5164666377791,4.4300022079146e-14,2.85425042255938e-10
"1417065_at",4.18037046444267,11.7036126909073,11.8750941597523,1.8501333681918e-13,9.33765444125348e-10
"1418936_at",3.99940880309785,8.08570388455436,11.8719548231858,1.86334870560035e-13,9.33765444125348e-10
"1427742_a_at",2.86006616498437,7.41947010123377,11.7303419403047,2.5720010522046e-13,1.1599981945548e-09
"1453582_at",2.5646629543409,8.58060913199822,11.5103982338453,4.26367195349977e-13,1.74814426158903e-09
"1444021_at",1.61955859563962,6.79005672714894,11.2947031696135,7.04004758177275e-13,2.56262664791316e-09
"1424880_at",2.244174957391,8.90749349022177,11.2436004054034,7.93494338519761e-13,2.56262664791316e-09
"1447448_s_at",2.81551479541783,7.59176984944469,11.2290471557674,8.2104983457157e-13,2.56262664791316e-09
"1433508_at",2.6289224888992,8.23568948417561,11.2131372668739,8.5229595172385e-13,2.56262664791316e-09
"1455725_a_at",1.39337696818752,12.5869887660253,11.0932097259788,1.13059409565501e-12,2.95338962731116e-09
"1437247_at",1.77913279992366,7.34338629640728,11.0641556101336,1.21102973204623e-12,2.95338962731116e-09
"1451340_at",3.09581894551961,6.61014734406774,11.0501939495956,1.25174097214021e-12,2.95338962731116e-09
"1452519_a_at",2.20633035640772,11.7255710699382,11.0399898516751,1.28237846717304e-12,2.95338962731116e-09
"1442277_at",2.8943530130027,8.9843074410587,11.0311053144879,1.30967811237496e-12,2.95338962731116e-09
"1415899_at",2.86945051476472,9.37037256001345,10.7906300027895,2.32505268921504e-12,4.85867151862695e-09
"1437210_a_at",1.90028157578685,10.2979938655548,10.7826551462921,2.37003111704381e-12,4.85867151862695e-09
"1423100_at",5.17519559628043,10.1041451674345,10.7129081534111,2.80337437293185e-12,5.49717337363475e-09
"1450264_a_at",2.29576148777902,10.7295543822966,10.4435367593259,5.39364321887504e-12,1.01357792839368e-08
"1440076_at",1.92221266554509,9.06356894232005,10.3858356825877,6.21281900497165e-12,1.12081739977291e-08
"1423622_a_at",1.47051314942108,9.79967022590988,10.3659994858055,6.52291887655383e-12,1.13150063173636e-08
"1420376_a_at",1.56161138305071,11.8934800201244,10.3430495494295,6.90149817372106e-12,1.15283136715923e-08
"1434496_at",2.86065432762582,9.88778253643233,10.2999092357657,7.67503533595541e-12,1.23625631673902e-08
"1442726_s_at",1.78932462981162,7.03270371002598,10.2670394408381,8.32345976388111e-12,1.29447020279587e-08
"1417409_at",3.74552675505796,11.5828782854151,10.2184842930448,9.38528592392551e-12,1.41095260151655e-08
"1424942_a_at",2.15665229848131,8.70904261463111,10.0658791893974,1.37150986702565e-11,1.99536988750721e-08
"1451680_at",2.12009027774658,9.90623811663774,10.0007801461122,1.61391588078979e-11,2.22451005514643e-08
"1417516_at",3.12790170487535,9.27761814336574,9.99739572336883,1.62765419436004e-11,2.22451005514643e-08
